Rating,Review_Text,Usability,Price,Size,Service,Quality,Aspect_Terms,Aspect_Sentiment
1,"I am loving the size of this shirt ,fits me well",,,"size,fits",,,"size,fits,",POSITIVE
0,"The quality of this toy is very bad,it is broken",,,,,"quality,broken","quality,broken",NEGATIVE
0,"The manual instructions are very bad ,wish to contact the seller",,,,"manual,instructions,contact,seller",,"manual,instructions,contact,seller",NEGATIVE
1,"The cost is very less for this chair ,only 10$",,"cost,",,,,"cost,$",POSITIVE
0,This chair is very useful and functions very well,"useful,functions",,,,,"useful,functions",MIXED
0,size is good but quality not good,,,size,,quality,"size,quality",MIXED
0,can wear happily but size is short and instructions are not proper,wear,,size,instructions,,"wear,size,instructions",MIXED
1,price is very less but cannot wear always,wear,price,,,,"wear,price",POSITIVE
1,"very heavy but less price and big size ,also quality and shipping is good",,price,"heavy,size",shipping,quality,"price,heavy,size,shipping,quality",POSITIVE
1,"size, quality,price very bad",,price,size,,quality,"price,size,quality",MIXED
1,"fashionable compression stockings!: after i had a dvt my doctor required me to wear compression stockings. i wore ugly white ted hose and yucky thick brown stockings. then i found jobst ultrasheer. they gave me the compression i needed (15-20,) but looked like regular pantyhose. even though my blood clot has been gone for 4 years, i still buy these to wear as support stockings because they make my legs feel so nice.**note, i have problems with the rubberized tops rolling down my thigh. i tried the jobst adhesive, but i hated having my skin pulled all day. i bought an inexpensive garter belt and it works fine and helps keep the stockings from rolling.", pulled ,inexpensive ,,,,"pulled,inexpensive",POSITIVE
1,"jobst ultrasheer thigh high: excellent product. however, they are very difficult to get on for older people. i feel like i've had a full day workout after getting them on. also, as the day wears on, they begin to roll down from the top and create a very deep ridge in the skin. i have to wear them, so if those two difficulties could be addressed it would be such a help.","workout,roll down  ",,,,,"workout,roll down",POSITIVE
0,sizes recomended in the size chart are not real: sizes are much smaller than what is recomended in the chart. i tried to put it and sheer it!. i guess you should not buy this item in the internet..it is better to go to the store and check it,,,"sizes,size,chart,smaller ",,,"sizes,size,chart,smaller",MIXED
0,"mens ultrasheer: this model may be ok for sedentary types, but i'm active and get around alot in my job - consistently found these stockings rolled up down by my ankles! not good!! solution: go with the standard compression stocking, 20-30, stock #114622. excellent support, stays up and gives me what i need. both pair of these also tore as i struggled to pull them up all the time. good riddance/bad investment!", rolled up down,investment,,,tore,"rolled up down,investment,tore",MIXED
1,"delicious cookie mix: i thought it was funny that i bought this product without knowing it was a mix. i read the header very quickly and just thought it was packaged cookies. but no, it is cookie mix and i guess i should have noticed that since it is right in the title.this is the first time i have ever tried baking with a cookie mix. if you are used to the convenience of the cookie dough that you buy wrapped up in plastic logs then you might be in for a bit of a surprise. mixing up the dough can get very messy (it is extremely sticky). however, with a cookie mix like this you have a lot of flexibility in the ratio of ingredients (i like to add some extra butter to make the baked cookies more chewy). also, this mix has really large chocolate chips in it--i love that.i removed a star for the addition of 'natural flavors' in the mix.",flexibility ,,large,,,"flexibility,large",POSITIVE
0,"problem with charging smaller aaas: i have had the charger for more than two years. it charges aa batteries just fine, but has a huge problem securing smaller aaa batteries. to charge the smaller batteries you need to flip down the little button at the positive end. in the beginning one of the four aaa batteries would pop up, and now three out of the four won't hold. the problem is the flip mechanism became loose, and any horizontal pressure would push the buttons back up. what i have to do now is using duct tape and a segment of crayon, apply the crayon on the buttons, and wrap the tape around. you know how painful that is.",using,, smaller ,,,"using,smaller",NEGATIVE
0,"works, but not as advertised: i bought one of these chargers..the instructions say the lights stay on while the battery charges...true. the instructions dont say the lights turn off when its done. which is also true. 24 hours of charging and the lights stay on. i returned it thinking i had a bad unit.the new one did the same thing. i just kept it since it does charge...but the lights are useless since they seem to always stay on. it's a ""backup"" charger for when i manage to drain all my aas but i wouldn't want this as my only charger.",useless ,,, instructions,,"useless,instructions",NEGATIVE
0,"disappointed: i read the reviews,made my purchase and was very disappointed. the charger is convenient by charging all four batteries at once but the charge only lasts a very short time. i now have to go and find batteries that will give me longer life than the kodak nimh aa batteries.",,,,,lasts,lasts,NEGATIVE
0,"doesn't work on a mac: it clearly says on line this will work on a mac os system. the disk comes and it does not, only windows . do not order this if you have a mac!!!!!!!",work ,,,,,work,MIXED
1,"autumn: got this for my daughter in nc, she is now making prefect bread. wish she lived closer to make me some.less price very good",,price,,,,price,POSITIVE
0,"*** beware ***: this tv is set so that it is not capable of a ""recall"" function. if you want to flash back between channels, this tv is not going to give it to you. the remote control that comes with the tv has no recall function, so i bought a sony universal, which is a much better remote, that had the recall button on it. however, i soon learned that the tv is set at the factory to not have the capability to flash-back. it may not be a big deal to some, but this user found it very annoying.",function,,,,,function,NEGATIVE
0,"either 1 or 5 stars. depends on how you look at it.: either 1 or 5 stars. depends on how you look at it.1 star because they sent 6 feet of 2"" od copper pipe.0 star because they won't accept returns on it.5 stars because i figure it's actually worth $12-15/foot and since they won't take a return i figure i can sell it and make $40-50 on this deal",,, feet , return,,"$,feet,return",NEGATIVE
0,"disappointing: the text is the same as ever (i think), but the plates are markedly inferior to all previous editions. had i known this ahead of time, i would not have purchased this volume.",,,,, inferior,inferior,NEGATIVE
0,"very poor quality.: the screen arrived in a cardboard box that was pretty beat up. the screen itself is very light, very cheesy looking. the ""finish"" was worn across the entire top of the screen. i knew this wasn't solid brass, but i expected something that at least looked decent from a distance for the price i paid.",,price,,"arrived,cardboard box "," quality,solid,brass","price,arrived,cardboard box,quality,solid,brass",NEGATIVE
0,"scraped across the whole top.: purchased this screen last week and it came with noticeable scrapes across the top. the box it came in was gigantic with plenty of packaging material, but the screen was packaged loosely at the bottom. however, since it was in another smaller box, i'm thinking that the scraping was there to begin with, and not from shipping. still deciding whether to go through the trouble of exchanging it since another reviewer said they had the same damage. i wouldn't want to risk getting another with the same damage and i really need a screen right now. other than the damage, it's a very nice screen.",,,smaller," box,packaging,packaged","scraped,","smaller,box,packaging,packaged,scraped",NEGATIVE
0,"didn't live up to expectations.: i ordered these shoes to replace the previous pair that had ripped apart at the sole. clark said they did not make this shoe anymore, so i had to order them through amazon. sadly, the second pair ripped in the same place within 3 months. my son has since bought a similar pair from sperry and they seem to be holding up much better.",holding,,,,,holding,MIXED
1,"barbie as rapunzel: a creative adventure: i purchased this software for my 5 year old granddaughter and she loves playing it so much. she lets me play it sometimes, but she doesn't always like what i come up with. i plan to purchase other software programs for her.", playing ,,,,,playing,POSITIVE
1,"smells divine.: this is my second bottle of sheer freesia, i just love this fragrance, its a light delicate sent, beautiful, like a summer day.",,,,,"smells,delicate ","smells,delicate ",POSITIVE
0,very disappointed!: this perfume is just awful! smells nothing like freesia.the gift recipient was not impressed. the worst is that it can't be returned!,,,,,smells,smells,NEGATIVE
1,"comfy,warm.. but run big: just like the title says. warm, comfy but run a size too big. i don't wear them out as they are just for lounging, so it's not that big of a deal for me.",comfy,,"big,size",,,"comfy,big,size",POSITIVE
0,"buyer beware!!: i ordered the cake topper june 27, 2010. i was given an estimated shipping date of july 1-7, 2010. those dates came & went with no cake topper. i contacted the seller twice with no response. i filed a claim with amazon. i did end up receiving a cake topper on july 16, 2010; however, it's not even the one i ordered! the seller did refund my money, but has never contacted me or apologized for the mishap. i will never buy anything from the seller again. i looked at the seller's feedback & i'm not the only person they have done wrong, so buyer beware!!",,money,,"shipping,date,contacted,response,seller,refund,contacted,apologized ",,"money,shipping,date,contacted,response,seller,refund,contacted,apologized",NEGATIVE
0,ariel litte mermaid with pearl kit: arrived very quickly and it is a cute topper however i wouldn't have bought it if they didn't provide instructions!!!! i should have listened to the other reviews.... if you are hoping to get more than the topper do not buy this!! so annoyed i have this ariel and have no idea how to decorate the cake.,,,,"arrived,instructions",,"arrived,instructions",MIXED
0,"no instructions included - do not trust seller: promised with this item are ""complete instructions"" and the additional pledge that ""sweet graces will email you with the supply list and instruction sheets on purchase - so you can be ready ahead of time!"" i received none of this - only a plastic figurine and bracelet. to boot, amazon claims they can do nothing to help me contact the seller. all i got was a phone number for the manufacturer. let's hope that yields some results. meanwhile, i'm wishing i had listened to previous feedback about this unreliable seller :/",,,," instructions,trust,seller",plastic,"instructions,trust,seller,plastic",MIXED
1,"very fun and educational: trains, shapes and pegs - a winning combination, guaranteed to make both the child and the parent happy. good starter puzzle for the 1 yr old range.",fun,,,,,fun,POSITIVE
0,"too uncomfortable and too big: these pants were way too big (looked about 2 sizes larger), and they were incredibly stiff. they would have been very uncomfortable for my daughter to wear all day.",uncomfortable,,big,,stiff,"uncomfortable,big,stiff",NEGATIVE
0,"doesn't fit: i ordered this dashmat for a specific vehicle, it was not the correct mat. i returned the original one and they sent me an exact duplicate of the wrong mat. i can't seem to get the correct one and therefore it sits in a box!!!!!!",,, fit,duplicate,,"fit,duplicate",NEGATIVE
1,you need a good memory: i play this with my grandchildren. it teaches us both the value of a good memory and is challenging for all. you sometimes miss the most obvious. lots of fun--tic tac toe with a twist!,fun,,,,,fun,POSITIVE
1,slip on 2 1/2 in. heel shoes: i am completely satisfied in the manner my order was delivered.the shoes are just as awesome as the advertisement showed them to be.,,,," delivered,advertisement ",,"delivered,advertisement",POSITIVE
1,no good: i gave it 5 stars because my little dog had so much fun riping it apart but only took him 24 hrs to do it buy that is 23 hrs longer than other balls, fun,,longer,,,"fun,longer",POSITIVE
1,"oh!: this cereal is so sweet....yet so good for you! one taste=addiction!!!! i just tried this cereal out of curiousity and i was hooked! it is an excellent breakfast choice, or just any time to eat! especially as breakfast because you will crave more honey taste and you won't be hungry later {probably because of how much you'd eat} and it is actually sweeter and better than honey bunches of oats. cap'n crunch berries is an option, but this splendid cereal is so filled with a honey-filled taste! i have not tried much better tasting cereal than this! oh!",taste,,,,,taste,POSITIVE
1,"delicious and addictive: this cereal is great because it tastes so good. you just crave it. but a word of warning: read the label. last time my husband and i looked, it had saturated fat! all the other cereals in our cabinet did not... hmmmm. another reviewer noticed this problem too!also, amazon's price of $23 is outrageous. it is between $1.99 to $2.50 in our stores.",tastes,price,,,,"tastes,price",MIXED
1,"oh where oh where have my oh's gone?: i was really distraught to go to my local walmart and see that they stopped carrying my favorite cereal. but as was elated to find that ""the site who has everything including a church"" made it available to me by the 6-pack. oh's is an amazing cereal. the one thing i dont like is the box is so small. i get maybe 3 bowls out of the entire box:-(.",,, small,,,small,POSITIVE
0,"poor instructions, but once you figure it out... kinda cool: these wraps were not doing anything when we placed them in ""hot"" water. we searched the internet and found others having the same problem. the instructions are very poor. first off, you need to dip in boiling water (or at least some temperature level above what i would call hot). second, the instructions don't describe what should happen, should the image shrink around the egg, transfer to it -- what?needless to say, it was frustrating for a minute or two, but my wife - who is very intelligent and great in the kitchen - immediately thought, ""well... hot water wouldn't do much to change the properties of the plastic, so let's try boiling water - nothing to lose.""should be more explicit in the instructions. (we were using the star wars version of this product).",,,, instructions,,instructions,NEGATIVE
1,great gift: my brother in law was thrilled with the clarity and instructional commentswill be looking for more titles by her,,,,instructional,,instructional,POSITIVE
0,"product didn't match the picture/description: unless they sent me the wrong product by mistake, the foot cushion picture and description does not match the item delivered. i was under the impression i would receive two (a pair) of water filled foot cushions that i could insert into my shoes. instead i received one foot cushion, filled with another material (not water) that you attach to your foot via a toe strap. i was definately not happy with the item and sent it back for a refund. luckily for me amazon has a great return policy... they make returns very easy!",,,,"description,return,policy",,"description,return,policy",MIXED
0,"not professional quality: i first tried buying this tape from a marketplace seller. i sent it back because the tape quality was poor and the packaging looked unprofessional. after returning it i bought one from amazon proper and . . . it was the same quality tape and the same packaging. since i'm now sure this is not a bootleg tape, all i can say is . . . some videos are better than others.",,,,"packaging,unprofessional", quality,"packaging,unprofessional,quality",NEGATIVE
1,sony basic hi8 handycam rocks!: performance is outstanding. i had a previous sony 8 mm handycam which died and i replaced it with this camera so i could continue to playback my old 8 mm tapes. this camera performs faster and is simpler to use than my old sony. it does everything i need and does it well... i got a great deal.,"performance,use",,,,,"performance,use",POSITIVE
1,"peek a fun!: we got these as a gift for our one year old. he loves them! he tries very hard to get all the little things out of the blocks - and obviously fails. he loves that some of them move, some of them jiggle, some of them make noise - its almost an adventure!the three year old also loves them because they incorporate the alphabet and he can easily identify the items inside: b - banana, p - penguin, u - umbrella, z - zebra.bonus - when the 1 y/o gets frustrated because he can't pry the items out of the block no matter how hard he tries, he usually flings them. the 3 y/o tends to use them to build walls or towers for the sole purpose of smashing another toy into them, or dropping them off high places. and i've stepped on two of them already. they seem to tolerate this treatment rather well.",moves,,,,tolerate  ,"moves,tolerate  ",POSITIVE
1,"excellent product: these alphabet blocks are so beautiful they could be classed as works of art or collectors items. i have purchased two seys as gifts and will probably buy more,",works,,,,,works,POSITIVE
0,"great for twins: i purchased the alphabet blocks for my twin daughters. they are just over 8 months old and they love them. this product is a great learning tool for them for years to come but for now it a great teething toy!!! i would recommend this to anyone, plus i love fisher price.",learning tool,price,,,,"learning tool,price",MIXED
1,"they're blocks - keep that in mind: we got these after seeing the incrediblocks in the fp catalog.there are little to no pizazz to the blocks. some have features where you can ""spin"" them (like the letter q - queen) or the w (watermelon seeds that rattle) - but most are just a ""look at me"" type of a block.with that in mind - yes i like the product. they're blocks. they're meant for stacking, knocking over and banging - which my son loves (he's had these since he was 6 months). they're better than the plain wooden blocks because they're textured, they have objects inside, letters - lots of opportunities to learn letters, colors, objects, descriptions, etc.for now he's stacking, banging and knocking over. it'll be around for a while until he's ready to learn more words, colors, objects, animals. this review isn't profound or eye openings because again - they're just blocks. keep that in mind when making your purchasing decision. it will not make your child an overnight rocket scientist =)"," stacking,knocking",,,,textured,"stacking,knocking,textured",POSITIVE
0,"would have expected better!: i bought these for two reasons- blocks and educational letters. however, the letters are rubbing off. for the price i paid that was dissapointing. other than that i love the concept and the objects inside are fun.",fun,price,,,,"fun,price",MIXED
1,"cute gift for a little baby: although i felt it looked a bit chinsy, the mother had it on her wish list and was very happy to receive them.",,,,,chinsy,chinsy,POSITIVE
1,"great blocks: my daughter loves her blocks. she will get them all out and look at each one until she finds her favorite. she likes to shake them and see what each one does. these are cute little blocks that have hours of imaginative playtime inside. they also have blunt corners, so no sharp edges like wood blocks for the safety of smaller children. the fact that they have the letters of the alphabet and a corresponding object inside makes them a great learning tool even for older tots. we have really enjoyed these and recommend them to our friends.",playtime,,,,"blunt,sharp edges","playtime,blunt,sharp edges",POSITIVE
1,"keeps his attention: my little boy is just getting interested in these blocks. they are too cute! he's learning to manipulate the block in his hands. the little things inside the blocks are adorable. some spin, some twirl, some rock. a definate upgrade from the standard wooden blocks.","spin,twirl",,,,,"spin,twirl",POSITIVE
1,great value.: this set incorporates a lot of the favorites from other sets packaged in an a to z learning format. i have been leary of purchasing too many of these blocks for storage reasons so the zippered case is a great bonus. definitely worth every penny.,,penny,,packaged,,"penny,packaged",POSITIVE
1,wonderful but not worth $80.: these are great blocks but they are definitely not worth the listed $79.99. they can be purchsed for about $20 many other places.price is too high,,price,,,,"$,price",POSITIVE
1,"worth the investment: this is a great set of blocks. i researched different blocks for some time and found these to be the most durable, age and developmentally-appropriate, and highly-educational. $25 bucks may seem like a lot, but i think it is well worth it. i am very impressed with the quality.the size and shape of the blocks is just right. my son is 5-months old and he is able to hold the blocks perfectly in his little hands. plus, the blocks do not have sharp corners (like the wooden blocks also available on this site) that could hurt your little one (especially those of you with chewers!).one category that i rated this toy with only a 4 (instead of 5) is the ""fun"" factor. for younger babies that may not ""get it"" yet, this toy may not be as fun for them until they are a little bit older. my son is not yet able to fully comprehend that there are even toys inside the blocks, but then again he is only 5 months. give him a couple of months and he'll really dig them!","educational,fun",investment,"size,",,"quality,sharp ","educational,fun,investment,size,quality,sharp ",POSITIVE
0,"waste off money: this is not waterproof.its garbage where batteries go in broke,while trying to adj.do not buy.you turn the end to control it,that loosens the battery cover where water gets in so how is it waterproff?????",,money,,, waterproof,"money,waterproof",NEGATIVE
1,"california exotics waterproof delights blue ballsy: the california exotics waterproof delights blue ballsy,is to spice up the relationship and it worked since the beginning,my other half likes it.",worked,,,,waterproof,"worked,waterproof",POSITIVE
0,"small didn't work: it is very small compared to what i thought it would be, but even so it didn't work when we got it",work,,small,,,"work,small",MIXED
1,"pretty nifty!: i purchased these for a halloween party, and then...like a dummy, i forgot to put them up! nevertheless, i did hold them up around the house in search of a good place to hang them. they're pretty big and look really cool. i'd say there's a little bit of educational value too, as you can teach your children about the actual pictures they're depicting. even though i forgot to hang them up, i really liked these scene setters and i'll be using them next year!",educational,,big,,,"educational,big",POSITIVE
0,stiff and smells like drying paint: you get what you pay for. this pillow is stiff and smelled like drying paint for 4 days. i thought i was getting a non name brand version of the temperpedic pillow. i bought the real pillow for my mother years ago and paid many times the price. this thing doesn't even come close.,,"pay,price",,,"smells,stiff","pay,price,smells,stiff",MIXED
0,review of pillow: this was a joke. i am sending the pillow back. does not come close to what was advertised. i believe the cardboard box that it arrived in would have been softer under my head. i am giving it one star just so i can post this. i only wish the stars could go negative.,,,,advertised,,advertised,MIXED
0,"don't bother: the pillow is tiny and poor quality foam, my pillow i was replacing was at least a year and a half old and it preforms better than this one did new.",,,tiny,,quality,"tiny,quality",MIXED
0,"worthless and cheap: how is this thing awful? let me count the ways..first off, it took an unatural amount of time to get here. whatever, that happens.it feels super cheap. when you handle a good memory foam pillow, it feels heavy and cushy in your hands. this thing feels like a piece of hard styrofoam. it barely squishes at all and has no 'memory', it is simply a very dense foam pillow. it's not even really a pillow- it's so hard that i cant even use it for propping my back whilst reading.on top of that, their terrible return pollicies make it not worth returning.do not buy! just use the styrofoam your new computer came in.ugh.",use,cheap,"heavy,","return,pollicies,",,"use,cheap,heavy,return,pollicies",NEGATIVE
0,"will not be purchasing another one of these: it worked fine in the beginning. 2 months or so into using it its performance was up in the air. i would find myself sleeping with one hand under the pillow to give it some leverage; otherwise my neck would end up in an awkward position. at times it felt like i needed to have 2 pillows because it was lacking in width and was too soft. i had to also rotate what end and what side i would lay my head/neck on. it, therefore, did not provide the support i needed.","performance,rotate",,width,,soft,"performance,rotate,width,soft",MIXED
0,"false advertisement: the pillow i received is nothing like the one in the picture. the pillow that i received is approx half the size (in thickness) as the one i received. i am not happy with the seller (moshelle's). i will never purchase from this company ever again. i am currently deployed military and i feel that this company is very disrespectful and does not show it's military members the proper courtesy when dealing with such issues. do not buy this pillow, you will not be satisfied.",,,size,"advertisement,seller",,"size,advertisement,seller",NEGATIVE
0,"not like the old formula: the formulation of this product has been changed since artec was bought by l'oreal. the new formula doesn't hold hair like the old artec original formula did, and it doesn't smell as nice. don't be fooled by this picture (12/29/07)--it is a pic of the old artec bottle, but i ordered and received the new l'oreal professionel version, which is terrible. the original artec version was similar to, but not as sticky as, potion 9. i wish l'oreal would go back to the old formula :( i emailed them to this effect and they never even replied. if anyone can recommend a similar product, please comment to this review.",,,,replied,smell,"replied,smell",MIXED
1,haven't found better yet...: this is the only product that can manage my hair without making it stiff or sticky.,,,,,stiff,stiff,MIXED
1,"smoothing serum: the product is wonderful for my hair which is very curly and tends to be frizzy. smooths it and gets rid of allof the friz. use it once a day, even in damp weather",use,,,,smooths,"use,smooths",POSITIVE
0,the product i received this time is like fake one: i have been used this product for many years. but somehow the product i received this time is like fake one. it's very thin. i have to used double amount.,used,,thin,fake,,"used,thin,fake",NEGATIVE
0,if it ain't broke don't fix it: i have been using this product for 5+ years. it was wonderful. about 1 year ago the company changed packaging and the product changed slightly. the bottle is taller now and something is missing from the serum. doesn't work as well as it used to work. i will not be purchasing this item because of the change.,work,,taller,"packaging,company,missing",broke,"work,taller,packaging,company,missing,broke",MIXED
0,"review of artec textureline smoothing serum: i ordered this particular product as a trial substitute for the ""controlgel"" by textureline, which has always been my first choice. it appears that the ""controlgel"" is out of production. this ""smoothing serum"" is a poor substitute. my barber agrees. he got me on the ""controlgel"" years ago and i used to buy extra for him, but now, no more!! too bad . . . we consumers lose again. i wish the ""controlgel"" product would come back. my barber and i won't buy any more of the ""smoothing serum."" what a waste!!",used,,,"production,consumers","poor,textureline","used,production,consumers,poor,textureline",NEGATIVE
1,"love it!: i just got this from a local stop and shop and love it! it leaves my hair so soft, smelling good and you can't even tell that i have any product in my hair. i'm reading a lot of reviews where people are saying that they can't find it anywhere. depending on where you live, try your local grocery store!",,,,,"soft,smell","soft,smell",POSITIVE
1,"great control racquet: a great racquet for anyone, although it is better suited for the more advanced player. for years, i played with the os version of this racquet which is noticeably more powerful and is a little more forgiving than the ms version. at this point, i prefer the ms version more just because of the better control and feel.even now, the prince graphite (os or ms) is still a great racquet, and imo, one of the best control racquets ever made.",played,,,,,played,POSITIVE
0,"4 year old bored with this after 2 weeks: i bought this for my 4 year old's birthday. while i think the graphics are really great, the concept stinks. my daughter told me she thinks it is boring (and she loves barbie) and last night she even said she hates it! at least my 15 month old screams with delight at the graphics when her older sister plays with it.",boring,,,,,boring,MIXED
0,"fire truck puzzle: the fire truck puzzle arrived in the time that was stated. it is very colorful and well worth the price. the puzzle is a christmas gift for a 2 year old, so at this time i can't state how he liked it. but i am very pleased with the quality.",,price,,arrived,quality,"price,arrived,quality",MIXED
0,"don't buy from eforcity -- slow, disingenuous: what am i reviewing here... this gizmo or the supplier, eforcity? i never received this product after my order! after waiting and waiting i contacted eforcity several times -- no reply. after a nasty letter from me eforcity'r reply feigned lacking information about my mailing address!what a cop-out.i told them i would not pay for it, so eforcity said they'd give me a refund, which has not come to me yet. i bought another product to replace this from amazon which arrived quickly from amazon.",,pay,,"waiting,contacted,refund,",,"pay,waiting,contacted,refund",NEGATIVE
0,"don't waste your money: i ordered this because my apartment doesn't have a light switch in the living room. it worked fine for about a week, then occassionaly would take 3 or 4 clicks to get the light to turn out. now it will work 1 out of maybe 100 attempts, and only within 6 feet of the outlet. terrible",worked,"money,pay",feet,,,"worked,money,pay,feet",MIXED
0,does not work!: it worked about 40% of the time when i was standing less than two feet from the outlet. when i moved eight to ten feet away it worked about 5% of the. i would not recommend it.,work,,feet,,,"work,feet",NEGATIVE
1,"plug it in and it works!: pull the battery saver tab, plug the unit into the wall and plug-in the device you want to control and everything works! i tried it from 25 feet away and through one wall and the remote turned my device on and off without a hitch!",works,,,,,works,POSITIVE
1,nifty: it is very convenient to have the charging cable available without having the cord all over the place in the way. works well too.,works,,,,,works,POSITIVE
1,grandson enjoyed maybe 20 times!: fine. boys and the toys or trains i forget how many times kids can watch a movie and then watch it again,works,,,,,works,POSITIVE
0,"$25k warranty isn't included in packaging or at apc site: this product description is wrong. i purchased this product because of this ""$25,000"" equipment warranty. product received only states that the actual surge protector is under warranty and has no mention of equipment warranty. is amazon starting to make stuff up now?",,,,"warranty,description",,"$,warranty,description",NEGATIVE
1,"great little surge protector: great value for a surge protector. i've got 'em on lots of electronics (printers, phones, laptops) that don't need a full power strip or universal power supply (ups). very portable for laptops, in case you're travelling.",portable,,,,,portable,POSITIVE
0,"too small: i have bought dockers for years but these are cut smaller than they usually are. even with the ""stretch"" waist band they are tight. so much for an ""extra"" inch. beware. try these in a store before you buy.",,,"small,tight",,,"small,tight",NEGATIVE
1,a good product available in convenient range of sizes: this product earns five stars not just because it is comfortable to wear and looks good but because it is available in more size (inseam) ranges than other dockers products. and by ordering online one can largely avoid the disappointment of store stock outs.,comfortable,,sizes, ,,"comfortable,sizes",MIXED
0,"tom atkinson review: i did not get the slack that had the waistband. i got slack with no waistband, so i send them back an was trying to ge a 42 29 but i received a e mail stateting that the product was no longer avability. so far i'am not sure were my refund went. please let me know.tom atkinson",,,,"email,refund",,"email,refund",NEGATIVE
0,"cut smaller than usual: i agree, these are cut small... buy an inch or two larger than you normally do. the waist band does not stretch.",,,small inch,,,small inch,NEGATIVE
0,"wrong item sent.: i got the shippment quickly. but wrong items was sent. i have to return it to the seller. i got the refund pretty quick, but only for the value of product. i spent about &10 for two way shipping without geting anything.",,spent,,return,,"spent,return",MIXED
0,"too bad....: did not like the pants at all, and threw them in the trash rather than pay return postage. flimsy, smelled of dye, cheap fabric, etc. too bad.",,"pay,cheap",,return,fabric,"pay,cheap,return,fabric",NEGATIVE
1,"dockers do the job.: this product was just what i was hoping for, and i had no problem with shipping. i highly recommend this product.",,,,shipping,,shipping,POSITIVE
0,"false advertising: if you search for super saver shipping this advertisement comes up, but this product is not shipped by amazon is does not go out with the super saver shipping, and the cost of shipping is nearly 20% the cost of the pants.",,cost,,"advertising,shipped",,"cost,advertising,shipped",MIXED
0,"don't trust the images: dockers are dockers, so that's not the problem. just be sure you don't trust the images if you choose to buy these via amazon. ""cafe,"" for example, should be ""coffee."" despite the fact that the image for ""cafe"" shows a stone or very light gray color, ""cafe"" is actually dark brown. so the product isn't defective, but is misleading: i didn't want brown pants, but that's what i got.",,,,misleading,,misleading,NEGATIVE
0,"so disappointed: i have worn these pants for years; my size is the same as always. i couldn't get them on; they were so tight i couldn't get the button buttoned around the waist. what is going on? these pants seemed to be cut for a skinny 25 year old, not someone who is a little on the hefty side. further, the shipping and handling charges are just out of sight...$16.95 above and beyond the already rather pricy product. i would not recommend doing business with this seller at all. you can go to other outlets and get the same thing without the shipping and handling, and there are ""deals"" out there from major store chains. i was really disappointed in this product and the seller. go to walmart and get their khakis; they are very inexpensive and wear like iron.",worn,"pricy,inexpensive","size,tight,skinny,hefty","shipping,seller",,"worn,pricy,inexpensive,size,tight,skinny,hefty,shipping,seller",NEGATIVE
0,"not a ride on: i should have paid closer attention to the size of this horse when i ordered it, but it should not be in the ride-on section. it is clearly not a ride on toy. it is tiny. the beanie babies ride on this horse and fit perfect. all it is is a stuffed horse on wheels and it is so tiny. my kids never play with it. this was a learning lesson for me with shopping online.",play,,"size,tiny,fit",,,"play,size,tiny,fit",MIXED
1,"glider: the glider got here much sooner than i thought, it arrived in great shape and all the pieces were there. i put it together by myself even if the kept saying 2 people. it was not hard and directions were simple.. it's really nice",,,,arrived,,arrived,POSITIVE
0,bench: the bench is very nice. i had a few pieces that looked like they were painted over scratches and some of the metal were scratched. i was unsure of some of the screws as you can not tighten it too much or is strips the plastic. wasnt sure on the indents on the metal bars which way they were suppose to go on. the bench broke after sitting on it three times. the glider bar broke. the weld is not very good or sturdy.,,,,,"scratched,metal,plastic,broke","scratched,metal,plastic,broke",NEGATIVE
1,"great glider: we needed to replace a wooden glider that we had in front of our house and after looking around and not really finding what we were looking for our son suggested we check amazon.com. we chose this one because we felt it would last for a long time and the size was right. when we received it we put it together and it was very easy to assemble. the movement of the glider is smooth. the color is a little blah, but we added a couple of colorful pillows and have received many compliments on it. the price is great and we are very happy with our purchase!",assemble,price,size,,smooth,"assemble,price,size,smooth",POSITIVE
0,"gauges in chair arms: chair is the product ordered, however it came with gauges in the arms. the chair was well packed and the damage appeared to have happened at the factory before wrapping for shipment. poor quality control. not worth returning the product. other than that, the bench is substantial and as promised. i have pictures taken while i was unwrapping, but couldn't figure out how to include them.",,,,"packed,","quality,poor,damage,","packed,quality,poor,damage",NEGATIVE
1,"very nice glider: good quality and fairly easy to assemble, although it helps to have 2 people. it is quite comfortable and looks nice.","assemble,comfortable",,,,quality,"assemble,comfortable,quality",POSITIVE
